"id"	"Flying"	"Storm"	"Darkness"	"Heights"	"Spiders"	"Snakes"	"Rats"	"Ageing"	"Dangerous.dogs"	"Fear.of.public.speaking"
"1"	1	1	1	1	1	5	3	1	3	2
"2"	1	1	1	2	1	1	1	3	1	4
"3"	1	1	1	1	1	1	1	1	1	2
"4"	2	1	1	3	5	5	5	4	5	5
"5"	1	2	1	1	1	1	2	2	4	3
"6"	3	2	2	2	1	2	2	1	1	3
"7"	1	3	2	1	1	5	1	4	1	1
"8"	3	2	4	3	1	5	3	1	2	4
"9"	2	3	1	5	5	5	2	2	3	4
"10"	4	5	4	5	3	4	4	3	5	3
"11"	1	1	2	2	2	1	1	1	4	2
"12"	4	1	1	3	5	5	5	5	5	5
"13"	1	1	1	1	1	3	1	5	2	2
"14"	2	3	3	4	3	4	3	2	1	3
"15"	5	5	3	3	2	5	1	5	5	3
"16"	5	1	1	1	1	1	1	1	1	2
"17"	1	3	5	4	5	3	1	2	5	4
"18"	3	5	5	5	4	4	1	5	5	3
"19"	1	1	1	1	1	1	1	1	1	2
"20"	3	2	2	4	4	2	2	2	2	3
"21"	2	2	2	2	2	2	2	1	1	2
"22"	1	1	1	1	1	1	1	1	1	1
"23"	1	2	1	1	5	5	3	1	3	3
"24"	2	4	5	3	3	3	2	3	3	3
"25"	1	1	2	1	5	5	4	5	5	5
"26"	3	2	2	3	5	2	1	4	4	2
"27"	1	1	1	1	1	2	1	2	2	3
"28"	3	5	2	2	5	5	1	4	1	2
"29"	1	1	2	4	4	4	3	4	1	2
"30"	3	3	4	5	5	5	5	5	5	3
"31"	1	1	1	3	5	3	3	4	3	4
"32"	1	1	1	1	2	5	3	1	3	2
"33"	3	5	5	5	5	5	5	1	5	2
"34"	1	5	2	4	4	5	3	1	2	4
"35"	1	2	2	1	2	2	2	1	2	3
"36"	3	5	3	3	4	5	4	5	5	1
"37"	3	1	4	3	5	4	1	3	2	5
"38"	1	1	1	3	3	1	1	3	3	2
"39"	3	4	2	4	5	1	1	1	3	2
"40"	3	3	2	2	5	5	5	3	4	4
"41"	1	3	5	3	5	2	5	3	5	3
"42"	2	1	1	1	1	1	1	1	1	2
"43"	1	1	3	1	5	1	1	1	3	5
"44"	1	3	4	5	5	5	3	2	4	1
"45"	3	2	4	5	5	5	3	3	5	3
"46"	5	2	2	5	5	4	1	5	4	4
"47"	1	1	1	1	1	2	1	1	2	1
"48"	1	2	1	3	1	3	5	3	4	4
"49"	3	1	2	2	2	3	3	5	3	1
"50"	3	1	5	4	5	3	2	3	2	5
"51"	1	2	1	2	2	2	4	2	5	4
"52"	3	1	3	1	5	1	1	1	2	2
"53"	3	3	5	4	5	5	4	3	1	3
"54"	3	1	1	1	5	1	3	1	3	5
"55"	3	2	5	5	3	5	4	1	5	2
"56"	2	2	5	3	5	5	5	3	5	4
"57"	3	1	5	3	3	5	1	5	1	3
"58"	2	2	2	2	5	3	3	4	4	5
"59"	1	1	2	5	1	5	3	5	4	3
"60"	5	1	1	4	2	3	1	1	2	5
"61"	1	1	1	2	2	3	2	2	3	5
"62"	1	1	1	3	3	4	4	4	4	2
"63"	5	5	5	5	5	5	5	5	5	4
"64"	3	2	2	4	3	4	3	2	3	3
"65"	1	2	5	3	5	1	3	5	4	3
"66"	1	1	2	2	1	2	1	4	2	4
"67"	3	2	3	5	1	3	2	1	1	3
"68"	1	1	2	4	1	3	2	2	5	2
"69"	3	5	2	2	4	5	3	1	3	5
"70"	2	5	1	1	1	5	5	1	5	3
"71"	2	2	2	2	4	3	3	3	4	3
"72"	1	1	1	4	3	4	3	5	5	1
"73"	1	3	3	3	5	5	4	3	4	4
"74"	5	2	1	3	3	3	3	5	3	5
"75"	5	5	1	4	3	4	3	3	5	2
"76"	2	1	2	5	1	2	1	1	2	1
"77"	2	3	2	3	1	5	2	1	3	3
"78"	1	1	1	3	5	5	2	2	5	3
"79"	1	1	1	1	3	3	3	5	3	4
"80"	2	3	2	4	5	5	5	2	3	4
"81"	2	1	4	2	3	4	3	1	3	4
"82"	1	1	2	2	1	1	1	1	4	1
"83"	2	1	5	2	3	4	1	1	3	5
"84"	3	4	5	3	5	4	4	3	3	3
"85"	1	1	1	3	3	1	1	1	1	4
"86"	2	3	4	5	2	4	4	1	4	3
"87"	4	4	4	4	2	2	3	3	1	5
"88"	1	2	2	1	3	3	3	5	3	2
"89"	5	2	2	4	5	1	2	1	5	5
"90"	3	3	2	3	2	3	5	4	5	3
"91"	2	3	1	3	5	3	1	5	4	3
"92"	1	3	1	1	5	5	5	5	5	1
"93"	2	1	2	1	1	2	1	1	2	2
"94"	5	4	2	4	2	1	2	1	1	1
"95"	1	1	1	4	2	1	1	1	1	3
"96"	1	2	2	1	4	4	4	4	5	2
"97"	1	1	1	2	4	1	1	1	5	5
"98"	1	1	2	3	2	4	1	1	1	2
"99"	1	1	1	3	5	1	1	3	3	1
"100"	2	2	3	3	5	2	1	2	2	4
"101"	3	4	3	5	4	3	3	1	5	3
"102"	2	1	1	2	5	5	3	1	3	3
"103"	1	2	4	1	1	1	4	2	1	3
"104"	1	1	1	1	4	4	1	4	2	1
"105"	1	1	1	3	1	1	1	1	1	1
"106"	1	2	1	2	1	4	2	1	2	2
"107"	2	1	1	1	2	2	2	3	2	3
"108"	4	2	5	1	1	1	3	1	3	1
"109"	1	1	2	4	5	3	2	5	4	2
"110"	3	1	3	2	1	4	4	1	3	4
"111"	1	1	2	4	4	4	1	2	1	2
"112"	2	2	2	3	5	4	5	1	5	5
"113"	2	4	3	1	4	4	1	2	3	3
"114"	1	1	3	2	3	3	3	1	1	1
"115"	1	1	2	2	5	5	1	3	5	5
"116"	1	1	4	5	5	5	3	5	5	2
"117"	4	2	5	5	5	5	1	3	5	4
"118"	3	1	2	4	3	5	3	2	2	4
"119"	2	1	1	1	2	1	1	2	1	3
"120"	4	2	1	2	2	4	1	1	2	3
"121"	1	1	2	1	1	4	4	1	1	2
"122"	1	1	1	2	1	2	3	2	3	3
"123"	4	2	1	2	2	4	3	2	2	2
"124"	2	2	1	1	1	1	1	3	2	4
"125"	1	1	1	2	1	1	1	1	2	1
"126"	3	2	2	2	4	3	2	4	4	3
"127"	4	3	5	4	1	4	4	4	5	3
"128"	1	2	2	2	2	2	2	4	2	2
"129"	1	1	1	3	1	1	1	5	5	5
"130"	2	4	4	2	2	1	2	3	1	3
"131"	1	1	3	1	4	4	5	5	4	3
"132"	1	2	3	4	2	2	3	1	4	2
"133"	1	1	2	1	5	3	5	3	1	4
"134"	3	3	5	4	4	4	2	2	3	2
"135"	3	3	3	3	5	3	1	5	5	5
"136"	4	4	5	5	5	2	1	3	1	1
"137"	1	1	2	4	5	3	1	1	3	2
"138"	5	2	2	2	3	4	1	2	4	2
"139"	1	1	1	1	1	2	2	1	4	3
"140"	4	4	4	4	3	5	5	4	5	2
"141"	2	2	2	5	2	4	3	2	4	3
"142"	1	2	4	5	1	3	1	5	3	1
"143"	3	3	1	4	4	4	4	4	5	3
"144"	2	3	4	5	5	5	5	4	2	4
"145"	1	1	1	1	1	1	1	1	2	5
"146"	2	3	4	3	5	4	3	3	4	3
"147"	1	1	1	3	1	3	1	1	3	2
"148"	1	1	1	2	2	2	2	3	3	4
"149"	1	2	2	3	2	3	2	2	4	3
"150"	1	1	2	3	1	2	1	2	3	4
"151"	2	1	2	1	5	2	1	3	3	3
"152"	3	2	1	4	3	3	4	2	2	4
"153"	5	1	3	3	2	3	3	5	4	1
"154"	1	3	2	3	5	4	4	4	5	3
"155"	1	1	2	2	5	3	2	3	1	3
"156"	1	1	5	1	2	1	5	3	1	3
"157"	1	1	1	5	1	1	1	1	5	2
"158"	1	1	1	1	2	2	2	2	5	2
"159"	3	3	2	1	5	2	2	3	5	4
"160"	2	2	3	4	2	2	3	2	3	2
"161"	1	1	1	2	1	1	1	1	1	2
"162"	1	2	1	1	4	1	1	5	1	3
"163"	1	1	1	2	2	5	3	1	3	2
"164"	3	3	2	4	4	3	2	2	3	4
"165"	2	1	3	2	2	2	2	4	1	4
"166"	3	2	2	4	4	4	5	4	4	4
"167"	1	1	2	2	4	1	1	3	2	1
"168"	3	3	4	4	4	4	3	3	4	4
"169"	1	1	1	1	1	1	1	2	2	1
"170"	1	2	1	1	5	3	1	1	1	3
"171"	2	2	4	3	3	5	4	3	3	2
"172"	1	1	1	1	1	1	1	3	1	1
"173"	3	1	3	2	1	1	1	4	4	5
"174"	1	1	2	3	2	4	3	2	1	4
"175"	1	5	5	5	5	5	5	5	5	3
"176"	2	1	4	1	3	5	1	4	2	3
"177"	2	1	1	3	1	1	1	1	1	1
"178"	3	1	2	2	1	2	3	5	1	3
"179"	2	2	2	4	2	1	1	5	3	3
"180"	2	2	4	2	5	1	1	3	5	2
"181"	1	1	1	1	1	1	1	1	1	1
"182"	1	1	1	1	1	2	3	2	2	2
"183"	2	3	2	1	5	4	2	1	2	3
"184"	2	2	2	2	3	1	2	1	1	1
"185"	3	5	1	3	2	5	2	4	5	3
"186"	1	5	1	1	3	5	3	3	4	2
"187"	2	3	3	2	5	5	5	4	4	3
"188"	2	1	1	1	1	1	1	1	4	3
"189"	3	3	4	1	2	5	5	2	5	4
"190"	1	1	2	2	3	3	2	2	2	5
"191"	2	2	2	2	5	1	2	3	2	3
"192"	3	2	2	2	1	3	3	3	5	1
"193"	2	1	2	1	5	1	1	4	1	3
"194"	3	1	2	2	1	2	4	3	1	3
"195"	2	1	1	2	3	3	4	2	3	1
"196"	1	2	3	4	5	5	1	3	5	3
"197"	2	2	3	2	4	5	4	2	4	3
"198"	1	4	4	2	4	4	4	2	4	4
"199"	1	5	5	5	5	5	5	3	5	4
"200"	3	1	2	2	2	4	3	3	3	3
"201"	3	1	2	3	1	2	1	1	3	4
"202"	4	3	3	3	1	5	1	3	5	1
"203"	1	1	2	2	4	4	3	2	3	1
"204"	1	1	1	4	2	2	2	4	4	5
"205"	2	1	1	1	4	3	1	2	3	4
"206"	3	2	4	5	1	1	1	1	3	4
"207"	3	2	1	2	3	3	3	2	2	1
"208"	2	3	3	2	5	3	3	1	2	3
"209"	1	5	5	2	5	4	4	4	1	2
"210"	4	3	1	4	5	4	2	1	4	5
"211"	4	4	5	5	5	4	5	5	4	5
"212"	1	2	2	5	5	5	5	5	5	1
"213"	1	1	1	2	4	4	2	1	3	3
"214"	2	2	1	2	3	4	1	1	5	3
"215"	3	2	2	3	5	4	3	3	3	3
"216"	3	1	1	1	1	1	1	5	3	1
"217"	1	1	1	3	4	1	1	3	5	1
"218"	3	3	2	4	5	3	3	3	1	1
"219"	1	1	1	3	1	1	2	4	3	2
"220"	1	1	1	3	1	1	1	3	2	1
"221"	1	3	2	2	2	3	2	1	4	3
"222"	1	2	1	1	2	2	1	1	3	3
"223"	1	2	1	2	2	4	2	3	5	5
"224"	4	2	1	3	1	3	1	5	5	2
"225"	3	1	2	1	1	3	1	2	4	3
"226"	1	2	2	2	4	4	2	1	4	2
"227"	5	5	3	5	1	2	3	5	3	5
"228"	1	1	1	2	1	1	1	3	1	3
"229"	3	3	3	4	1	2	1	3	3	3
"230"	1	1	1	1	1	2	1	3	2	2
"231"	2	3	3	2	5	5	2	3	4	2
"232"	3	2	1	2	1	4	3	3	3	2
"233"	1	1	2	1	2	3	3	5	5	5
"234"	2	1	2	4	4	2	1	5	3	3
"235"	2	1	3	1	4	4	4	1	5	4
"236"	1	1	2	1	2	5	3	1	1	2
"237"	1	3	4	5	1	1	1	5	5	1
"238"	1	1	5	1	5	1	4	3	3	5
"239"	3	1	2	2	4	2	2	2	4	2
"240"	5	4	3	4	5	5	3	5	3	4
"241"	2	3	2	3	3	3	3	5	3	2
"242"	2	4	5	2	5	5	5	3	4	4
"243"	2	2	2	4	3	3	3	2	5	1
"244"	3	1	2	4	1	2	2	1	5	4
"245"	5	3	3	2	5	4	5	3	5	4
"246"	2	2	1	4	1	5	1	5	5	2
"247"	1	1	1	1	4	4	4	5	4	1
"248"	1	2	4	4	2	2	1	5	1	3
"249"	1	1	3	1	3	3	3	4	4	4
"250"	3	1	1	1	5	2	2	3	3	5
"251"	3	5	4	2	1	1	2	3	3	2
"252"	3	3	1	5	1	3	2	2	5	3
"253"	5	3	3	2	4	1	3	3	3	2
"254"	3	2	1	3	3	1	2	1	2	2
"255"	1	1	1	2	5	4	3	1	1	1
"256"	1	2	1	4	3	2	1	1	5	3
"257"	1	3	3	1	5	5	3	5	5	3
"258"	3	1	1	4	2	5	2	3	4	3
"259"	1	1	4	4	1	3	3	2	1	5
"260"	1	1	1	3	1	1	1	1	5	1
"261"	3	3	3	3	3	3	3	3	3	3
"262"	2	1	3	3	3	3	2	5	4	3
"263"	3	2	1	2	4	5	3	1	4	4
"264"	1	1	4	2	4	1	4	1	2	1
"265"	3	2	1	3	4	1	3	3	3	5
"266"	1	2	3	1	4	3	1	1	2	3
"267"	1	5	4	1	3	3	2	1	3	3
"268"	1	1	1	3	1	2	1	1	1	1
"269"	1	2	4	2	5	4	2	5	4	3
"270"	1	1	1	1	2	2	2	2	4	3
"271"	2	4	4	5	5	5	4	5	5	4
"272"	3	3	3	1	2	4	2	4	4	4
"273"	1	1	3	2	2	1	2	5	2	4
"274"	2	2	3	1	4	5	5	3	2	2
"275"	1	3	5	5	4	4	5	5	5	2
"276"	1	1	3	5	4	1	1	3	2	2
"277"	1	1	1	1	3	4	2	1	5	2
"278"	2	1	1	2	5	2	2	1	1	1
"279"	1	1	1	1	1	1	1	3	1	3
"280"	4	2	4	5	2	4	3	5	4	1
"281"	3	2	3	1	5	1	1	1	1	1
"282"	1	1	2	5	2	1	1	3	4	3
"283"	3	4	3	3	5	5	5	3	2	5
"284"	1	4	1	2	1	5	1	1	2	2
"285"	1	1	1	4	3	3	1	1	3	3
"286"	1	2	2	2	5	3	3	3	3	3
"287"	5	5	3	3	4	5	4	3	3	3
"288"	2	2	3	3	5	5	2	4	3	3
"289"	1	4	1	2	3	3	2	2	1	1
"290"	1	1	2	2	1	1	1	1	1	2
"291"	1	1	1	1	1	1	3	4	4	2
"292"	1	1	1	1	2	2	1	2	2	4
"293"	2	2	1	1	4	4	4	4	4	1
"294"	1	1	4	1	2	2	2	3	4	5
"295"	1	1	3	1	5	2	2	2	3	4
"296"	4	2	3	4	3	5	4	4	5	4
"297"	1	1	1	2	1	1	1	3	1	1
"298"	1	1	2	2	1	1	1	2	2	3
"299"	1	2	5	5	3	5	3	4	4	5
"300"	3	2	4	3	5	5	5	5	3	5
"301"	1	1	1	1	1	1	1	3	1	2
"302"	2	1	1	2	1	1	1	1	2	3
"303"	3	5	3	1	1	5	5	5	5	4
"304"	5	1	1	2	4	4	4	2	3	1
"305"	1	1	2	3	3	3	1	4	2	1
"306"	5	4	3	5	2	5	1	3	4	3
"307"	3	3	2	5	5	2	3	1	5	4
"308"	1	5	2	1	5	4	1	1	4	4
"309"	3	3	3	4	3	4	5	5	3	2
"310"	1	1	2	1	1	1	1	2	2	3
"311"	3	1	2	1	3	3	1	1	1	2
"312"	1	1	1	1	5	1	1	3	1	2
"313"	3	1	2	3	2	2	1	1	3	3
"314"	3	2	1	1	5	5	5	1	3	3
"315"	2	1	1	3	2	3	3	3	5	2
"316"	1	1	1	1	5	5	5	3	4	4
"317"	1	3	3	2	3	3	2	3	3	3
"318"	5	1	1	1	1	1	1	1	3	3
"319"	5	5	5	5	5	5	5	3	5	3
"320"	2	1	2	4	5	5	4	1	4	5
"321"	1	2	2	2	1	4	1	2	1	5
"322"	3	3	3	3	5	5	3	3	5	2
"323"	3	3	3	2	2	5	2	4	5	1
"324"	1	1	3	2	4	4	1	2	5	4
"325"	3	2	2	1	2	3	4	3	4	5
"326"	1	1	2	2	2	1	1	2	3	4
"327"	2	4	2	2	1	1	1	1	3	2
"328"	5	4	2	4	5	5	3	1	2	3
"329"	5	1	1	4	1	3	1	3	3	3
"330"	3	2	2	2	2	3	3	4	4	3
"331"	3	5	4	3	5	3	2	4	4	5
"332"	1	1	2	1	3	3	1	1	1	2
"333"	5	5	4	3	3	4	2	5	5	1
"334"	3	1	1	4	3	3	3	1	3	2
"335"	3	2	1	1	4	1	1	4	4	3
"336"	1	1	1	3	1	2	1	1	2	2
"337"	4	1	1	4	5	5	4	1	5	3
"338"	3	1	1	4	3	1	1	1	1	2
"339"	3	5	5	4	2	5	3	5	4	5
"340"	3	4	3	2	2	5	2	4	5	1
"341"	1	4	4	4	5	4	1	3	5	1
"342"	1	4	4	1	5	5	5	5	5	2
"343"	2	2	3	2	5	2	2	4	1	3
"344"	3	4	4	3	3	3	1	3	2	4
"345"	5	4	3	5	3	5	5	1	5	3
"346"	2	2	3	3	1	5	4	2	4	3
"347"	1	2	2	1	1	3	3	1	4	1
"348"	5	2	2	2	2	4	4	4	4	5
"349"	1	1	2	1	5	3	2	4	2	1
"350"	1	5	4	1	5	2	3	3	5	2
"351"	1	1	1	3	1	1	1	2	3	3
"352"	1	2	4	2	5	5	2	2	3	4
"353"	3	3	3	3	3	1	1	1	2	3
"354"	2	1	3	2	3	3	2	2	3	3
"355"	1	1	3	3	3	5	5	3	4	2
"356"	1	1	1	1	5	4	2	1	3	1
"357"	1	1	1	4	1	1	3	2	4	2
"358"	1	1	1	5	5	1	1	3	1	2
"359"	3	1	3	5	4	3	1	3	5	4
"360"	5	1	3	3	5	5	2	3	2	4
"361"	4	1	2	3	2	5	1	5	5	5
"362"	2	2	4	1	1	2	4	5	3	1
"363"	1	1	1	4	5	5	1	2	2	4
"364"	1	1	1	2	5	5	1	2	2	4
"365"	1	2	2	2	4	4	3	1	5	3
"366"	1	1	1	1	1	1	1	3	1	1
"367"	3	2	2	3	1	1	1	1	3	3
"368"	3	1	1	2	1	3	1	5	4	3
"369"	1	1	1	1	1	1	1	2	1	5
"370"	1	1	1	2	2	2	1	5	3	3
"371"	3	5	5	4	5	5	4	2	5	3
"372"	2	4	1	3	2	3	2	1	5	1
"373"	1	1	1	1	1	1	1	1	3	2
"374"	1	1	1	2	2	5	3	1	2	3
"375"	3	3	3	5	5	5	5	4	3	5
"376"	3	2	2	3	5	4	3	5	5	5
"377"	3	4	5	4	5	2	2	1	2	3
"378"	3	2	2	1	1	1	1	1	4	4
"379"	2	4	5	3	2	1	1	5	1	1
"380"	2	1	2	2	2	3	3	2	2	2
"381"	2	2	1	2	2	5	1	2	2	3
"382"	1	2	2	2	2	2	2	3	4	3
"383"	3	5	5	5	5	5	5	5	5	4
"384"	2	1	1	3	2	4	2	3	4	3
"385"	2	4	2	2	5	5	3	3	4	5
"386"	1	1	1	2	1	1	1	4	3	2
"387"	1	1	3	3	2	1	1	2	4	4
"388"	1	1	2	2	1	2	5	3	2	3
"389"	2	2	1	4	5	5	5	2	4	2
"390"	1	3	5	5	2	5	4	1	2	3
"391"	2	2	2	3	2	3	1	1	2	2
"392"	3	3	3	3	3	3	3	2	4	5
"393"	3	4	3	2	3	5	4	2	4	4
"394"	1	1	1	3	1	1	1	2	1	1
"395"	4	4	5	5	5	2	4	5	4	2
"396"	1	1	1	2	1	3	1	1	1	3
"397"	2	2	1	2	4	4	1	1	1	2
"398"	5	3	2	5	2	4	5	3	4	3
"399"	1	2	2	3	3	5	4	1	5	1
"400"	2	2	1	4	1	2	2	1	4	1
"401"	1	1	1	1	2	2	2	2	4	2
"402"	1	2	3	4	1	1	1	1	2	1
"403"	1	1	1	4	1	3	5	1	5	3
"404"	4	1	1	1	1	1	2	1	2	4
"405"	1	1	1	2	2	2	2	3	3	2
"406"	1	2	2	5	3	4	3	2	4	2
"407"	4	5	4	3	1	5	3	3	5	4
"408"	1	1	1	2	4	4	5	3	5	2
"409"	5	3	5	1	3	5	5	4	5	2
"410"	2	3	5	5	5	3	1	1	1	1
"411"	1	1	1	1	1	1	1	1	1	1
"412"	4	3	4	3	5	5	3	2	2	1
"413"	1	1	1	5	1	1	5	1	3	1
"414"	2	1	2	2	3	3	2	3	3	3
"415"	1	2	3	4	4	4	4	1	4	1
"416"	1	5	5	3	5	5	5	5	5	2
"417"	3	3	4	1	3	4	1	1	4	1
"418"	1	1	2	4	4	2	3	5	2	3
"419"	3	4	3	4	5	5	5	2	4	3
"420"	1	2	2	2	1	2	1	1	2	1
"421"	1	5	5	5	3	5	3	1	5	3
"422"	3	2	2	2	2	3	2	1	2	1
"423"	1	3	3	3	5	5	5	2	4	4
"424"	4	4	2	4	2	5	3	5	5	1
"425"	2	2	4	2	5	5	3	1	5	5
"426"	3	3	3	5	5	5	5	1	5	3
"427"	2	2	4	3	5	2	1	1	3	2
"428"	1	1	1	5	5	3	3	1	3	2
"429"	3	3	5	3	4	4	5	3	4	3
"430"	2	3	1	4	2	4	3	4	5	2
"431"	2	2	2	2	3	2	2	2	2	2
"432"	3	2	1	4	3	4	4	3	4	4
"433"	1	1	2	5	2	2	2	3	3	4
"434"	2	1	3	2	1	4	5	5	5	3
"435"	2	1	1	2	3	5	2	2	3	2
"436"	2	4	5	5	5	2	1	2	5	2
"437"	1	1	2	1	3	3	2	5	3	2
"438"	2	4	4	4	5	4	4	3	4	3
"439"	4	1	1	2	5	5	4	1	3	3
"440"	1	1	2	4	1	1	1	4	1	3
"441"	1	2	4	4	5	5	4	4	4	5
"442"	1	1	1	1	1	3	3	2	2	4
"443"	2	1	2	2	2	4	3	3	3	2
"444"	1	2	4	1	1	3	3	2	4	2
"445"	1	2	2	3	2	2	1	4	2	2
"446"	1	2	2	3	5	5	5	1	3	2
"447"	2	1	2	4	4	4	3	1	3	4
"448"	5	3	3	5	4	5	4	1	4	3
"449"	1	3	2	3	3	3	2	3	5	2
"450"	1	1	2	4	4	4	1	3	2	3
"451"	1	2	1	3	1	3	3	1	5	3
"452"	1	1	2	2	2	3	2	2	3	2
"453"	1	4	5	1	5	5	5	5	3	4
"454"	1	1	2	4	4	4	1	3	3	3
"455"	1	3	3	3	5	2	3	4	5	1
"456"	3	5	5	4	4	5	5	2	5	5
"457"	2	1	1	2	1	1	1	1	3	4
"458"	1	1	1	3	2	2	2	2	2	4
"459"	5	5	1	1	1	1	1	1	1	1
"460"	2	2	2	2	2	2	2	2	3	3
"461"	1	1	1	1	1	1	1	5	2	1
"462"	2	2	2	2	1	2	2	2	2	2
"463"	3	2	3	4	3	4	5	5	5	3
"464"	4	4	4	4	2	5	1	3	5	5
"465"	1	2	3	5	4	4	5	3	5	1
"466"	2	2	1	1	1	3	1	3	1	2
"467"	1	1	1	1	3	5	1	1	3	3
"468"	2	2	3	4	5	5	5	4	5	5
"469"	2	2	1	1	2	3	2	3	3	4
"470"	2	2	2	2	1	1	1	4	1	3
"471"	3	1	5	2	1	3	3	3	4	4
"472"	1	1	2	2	3	1	1	3	2	1
"473"	3	4	2	4	1	1	1	4	1	5
"474"	1	1	1	1	2	2	1	1	2	4
"475"	1	3	4	4	3	5	5	2	3	5
"476"	2	3	5	1	1	4	3	1	2	3
"477"	2	5	2	5	2	2	2	2	2	3
"478"	1	1	1	3	2	2	1	3	2	1
"479"	5	1	3	4	2	2	2	2	4	4
"480"	1	2	2	1	3	3	3	3	3	2
"481"	2	2	4	1	2	3	1	1	2	4
"482"	1	1	1	1	1	1	1	3	3	2
"483"	2	1	2	4	2	2	2	1	2	4
"484"	1	1	3	1	4	3	1	4	5	3
"485"	1	3	1	2	5	5	1	5	5	5
"486"	1	1	2	1	5	1	1	5	2	3
"487"	3	4	3	4	5	4	3	4	5	2
"488"	1	1	5	1	3	5	5	1	3	1
"489"	1	2	1	2	1	1	1	1	1	2
"490"	1	1	1	4	5	4	2	5	5	1
"491"	2	1	1	2	5	5	5	5	5	4
"492"	2	5	3	2	5	1	1	1	4	3
"493"	2	1	2	3	4	3	2	2	2	3
"494"	2	1	1	4	2	3	3	2	2	3
"495"	2	2	1	2	1	2	2	3	3	1
"496"	1	2	3	2	4	4	3	5	2	4
"497"	3	2	2	2	5	3	3	2	3	3
"498"	1	1	1	1	1	2	4	1	4	3
"499"	4	1	1	4	1	4	3	3	4	3
"500"	3	1	1	3	1	1	1	1	4	2
"501"	1	3	2	3	2	4	4	2	3	3
"502"	1	2	2	2	5	4	5	3	5	5
"503"	2	1	1	2	3	3	1	2	3	2
"504"	2	1	2	1	4	5	4	3	5	4
